Symbol,Time,Open,High,Low,Last,Change,%Change,Volume
SPYU,3/28/25,36.84,37.03,34.08,34.37,-2.97,-7.95%,1639000
SPYU,3/31/25,32.79,35.4,32.07,35.06,0.69,2.01%,1520300
SPYU,4/1/25,34.64,36,33.6809,35.54,0.48,1.37%,1473500
SPYU,4/2/25,34,37.1,33.92,36.42,0.88,2.48%,1871900
SPYU,4/3/25,31.34,32.0792,29.2122,29.55,-6.87,-18.86%,2405700
SPYU,4/4/25,26.36,26.71,22.33,22.38,-7.17,-24.26%,4231300
SPYU,4/7/25,19.42,25.53,18.15,22.23,-0.15,-0.67%,4370600
SPYU,4/8/25,25.16,25.68,19.41,20.76,-1.47,-6.61%,4126700
SPYU,4/9/25,20.18,28.9493,20.09,28.48,7.72,37.19%,6159300
SPYU,4/10/25,26.13,26.36,21.37,24.54,-3.94,-13.83%,4239000
SPYU,4/11/25,24.16,26.6787,23.63,26.19,1.65,6.72%,2225400
SPYU,4/14/25,28.16,28.2389,26.17,27.15,0.96,3.67%,2287900
SPYU,4/15/25,27.28,28,26.73,26.89,-0.26,-0.96%,1788700
SPYU,4/16/25,25.65,26.33,23.38,24.51,-2.38,-8.85%,2746400
SPYU,4/17/25,24.8,25.4153,24.08,24.4,-0.11,-0.45%,1498000
SPYU,4/21/25,23.55,23.62,21.1736,22.23,-2.17,-8.89%,2798600
SPYU,4/22/25,23.25,24.82,23.08,24.42,2.19,9.85%,3395400
SPYU,4/23/25,26.9,27.79,25.69,25.92,1.5,6.14%,3307500
SPYU,4/24/25,26.21,28.23,25.9601,28.08,2.16,8.33%,2188100
SPYU,4/25/25,28.08,28.97,27.46,28.83,0.75,2.67%,2294900
SPYU,4/28/25,29.03,29.4607,27.71,28.91,0.08,0.28%,2155500
SPYU,4/29/25,28.5,29.8499,28.401,29.62,0.71,2.46%,2072100
SPYU,4/30/25,28.15,30.0199,26.8312,29.74,0.12,0.41%,3515700
SPYU,5/1/25,30.87,31.635,30.33,30.44,0.7,2.35%,2183500
SPYU,5/2/25,31.77,32.545,31.24,32.13,1.69,5.55%,1967600
SPYU,5/5/25,31.2,32.14,31.0417,31.41,-0.72,-2.24%,1405900
SPYU,5/6/25,30.16,31.33,29.941,30.42,-0.99,-3.15%,1693500
SPYU,5/7/25,30.64,31.4,29.725,30.86,0.44,1.45%,1996400
SPYU,5/8/25,31.73,32.83,30.96,31.62,0.76,2.46%,2209900
SPYU,5/9/25,31.91,32.14,31.12,31.4,-0.22,-0.70%,1238600
SPYU,5/12/25,35.26,35.56,34.241,35.49,4.09,13.03%,2646100
SPYU,5/13/25,35.66,37.04,35.53,36.46,0.97,2.73%,1181700
SPYU,5/14/25,36.73,36.9971,36.151,36.61,0.15,0.41%,1379400
SPYU,5/15/25,36.12,37.465,36,37.3,0.69,1.88%,1323900
SPYU,5/16/25,37.46,38.25,36.9504,38.11,0.81,2.17%,1238900
SPYU,5/19/25,36.61,38.5,36.58,38.24,0.13,0.34%,1706600
SPYU,5/20/25,37.84,38.09,36.95,37.73,-0.51,-1.33%,1927300
SPYU,5/21/25,36.63,37.67,34.94,35.25,-2.48,-6.57%,2737600
SPYU,5/22/25,35.14,36.07,34.83,35.22,-0.03,-0.09%,1808300
SPYU,5/23/25,33.4,34.8,33.36,34.31,-0.91,-2.58%,1462500
SPYU,5/27/25,35.78,37,35.3899,36.92,2.61,7.61%,1473800
SPYU,5/28/25,37.06,37.355,35.91,36.08,-0.84,-2.28%,1778400
SPYU,5/29/25,37.38,37.39,35.67,36.58,0.5,1.39%,1871000
SPYU,5/30/25,36.27,36.8,34.91,36.37,-0.21,-0.57%,1887700
SPYU,6/2/25,35.96,37.16,35.31,37.14,0.77,2.12%,1165200
SPYU,6/3/25,37.04,38.2393,36.95,37.98,0.84,2.26%,1671000
SPYU,6/4/25,38.2,38.44,37.85,37.86,-0.12,-0.32%,970200
SPYU,6/5/25,38.34,38.6699,36.6305,37.03,-0.83,-2.19%,1889900
SPYU,6/6/25,38.47,39.0128,38.0205,38.53,1.5,4.05%,1332600
SPYU,6/9/25,38.71,39.16,38.4248,38.66,0.13,0.34%,746100
SPYU,6/10/25,38.8,39.64,38.5708,39.49,0.83,2.15%,1260800
SPYU,6/11/25,39.83,40.03,38.5478,39.09,-0.4,-1.01%,1627200
SPYU,6/12/25,38.72,39.66,38.58,39.61,0.52,1.33%,1056400
SPYU,6/13/25,38.18,39.05,37.3947,37.8,-1.81,-4.57%,1840700
SPYU,6/16/25,38.63,39.65,38.615,39.22,1.42,3.76%,985300
SPYU,6/17/25,38.54,38.925,37.64,37.82,-1.4,-3.57%,1160500
SPYU,6/18/25,38.02,38.71,37.54,37.76,-0.06,-0.16%,965600
SPYU,6/20/25,38.37,38.62,36.96,37.25,-0.51,-1.35%,1306800
SPYU,6/23/25,37.47,38.8301,36.71,38.71,1.46,3.92%,1503000
SPYU,6/24/25,39.82,40.69,39.59,40.47,1.76,4.55%,946200
SPYU,6/25/25,40.72,40.85,40.08,40.52,0.05,0.12%,833900
SPYU,6/26/25,40.96,41.82,40.8001,41.75,1.23,3.04%,944000
SPYU,6/27/25,41.93,42.87,41.323,42.4,0.65,1.56%,1245600
SPYU,6/30/25,43.105,43.5816,42.47,43.21,0.81,1.91%,1023800
SPYU,7/1/25,42.76,43.47,42.5404,43.09,-0.12,-0.28%,833400
SPYU,7/2/25,42.98,43.86,42.83,43.86,0.77,1.79%,958200
SPYU,7/3/25,44.33,45.3694,44.33,45.07,1.21,2.76%,765900
SPYU,7/7/25,44.53,44.6898,42.95,43.79,-1.28,-2.84%,1068300
SPYU,7/8/25,43.9,44.1,43.4,43.64,-0.15,-0.34%,740000
SPYU,7/9/25,44.25,44.8,43.77,44.64,1,2.29%,806300
SPYU,7/10/25,44.63,45.4,44.3,45.11,0.47,1.05%,542400
SPYU,7/11/25,44.11,44.6999,43.76,44.35,-0.76,-1.68%,715800
SPYU,7/14/25,44.22,44.74,43.81,44.65,0.3,0.68%,638200
SPYU,7/15/25,45.41,45.48,43.85,43.89,-0.76,-1.70%,805500
SPYU,7/16/25,44.29,44.521,42.69,44.41,0.52,1.18%,952400
SPYU,7/17/25,44.45,45.55,44.375,45.41,1,2.25%,779600
SPYU,7/18/25,45.73,45.73,44.9201,45.21,-0.2,-0.44%,657100
SPYU,7/21/25,45.53,46.3299,45.4,45.51,0.3,0.66%,565500
SPYU,7/22/25,45.56,45.73,44.77,45.46,-0.05,-0.11%,590200
SPYU,7/23/25,46.26,47.1,45.725,47.04,1.58,3.48%,669100
SPYU,7/24/25,47.1,47.55,46.951,47.06,0.02,0.04%,439100
SPYU,7/25/25,47.12,47.89,47.09,47.83,0.77,1.64%,490800
SPYU,7/28/25,47.86,47.985,47.2861,47.71,-0.12,-0.25%,624800
SPYU,7/29/25,48.04,48.12,46.8405,47.14,-0.57,-1.19%,612800
SPYU,7/30/25,47.29,47.76,45.985,46.84,-0.3,-0.64%,732400
SPYU,7/31/25,48.3,48.4,45.73,46.11,-0.73,-1.56%,1071400
SPYU,8/1/25,44.29,44.3,42.28,43,-3.11,-6.74%,1295100
SPYU,8/4/25,44,45.56,44,45.51,2.51,5.84%,470100
SPYU,8/5/25,45.72,45.925,44.3477,44.61,-0.9,-1.98%,734400
SPYU,8/6/25,44.88,46.1,44.6111,45.88,1.27,2.85%,572500
SPYU,8/7/25,46.92,47.109,44.83,45.77,-0.11,-0.24%,964300
SPYU,8/8/25,46.14,47.19,46.1297,47.01,1.24,2.71%,584900
SPYU,8/11/25,47.11,47.52,46.28,46.64,-0.37,-0.79%,503500
SPYU,8/12/25,47.31,48.63,46.88,48.57,1.93,4.14%,1125500
SPYU,8/13/25,49.24,49.6029,48.58,49.19,0.62,1.28%,570500
SPYU,8/14/25,48.52,49.38,48.4028,49.16,-0.03,-0.06%,588600
